,0
0,2.5746867e-05
1,0.28166986
2,0.07765919
3,0.07831356
4,0.03398188
5,0.21657455
6,0.06660876
7,0.0035915733
8,0.012134658
9,0.066351354
10,0.11016337
11,0.008304167
12,0.023652568
13,0.019054003
14,0.18999678
15,0.059917487
16,0.10350507
17,0.0052849078
18,0.07509896
19,0.46471173
20,0.070330426
21,0.003225177
22,6.042289e-05
23,0.00061868096
24,0.0006136644
25,1.8905734e-05
26,8.873664e-06
27,0.00040811987
28,0.002222233
29,0.001314806
30,0.06587026
31,0.01638194
32,0.018536849
33,0.0150264995
34,0.033817317
35,0.010143057
36,0.0020394758
37,0.042006504
38,0.008726634
39,0.004380683
40,0.00038301264
41,0.07484498
42,0.008615873
43,0.001093556
44,0.00095926673
45,4.765111e-05
46,0.0010799342
47,0.0007546557
48,0.0040165363
49,0.00013607253
50,0.04999793
51,0.006999817
52,0.023883216
53,0.038435075
54,0.021928133
55,0.01941438
56,0.015086912
57,0.00023055237
58,2.5778012e-05
59,0.000313589
60,0.0013527744
61,0.0005400112
62,0.000226817
63,0.0054095816
64,0.0012346513
65,0.0032055888
66,0.0019909071
67,0.0010277745
68,0.00040836984
69,0.00018108812
70,0.00010621644
71,8.1888036e-05
72,7.464152e-05
73,0.00038909802
74,0.023504375
75,0.005045142
76,0.0027151138
77,0.0008995867
78,0.00029138668
79,0.00012138016
80,7.436587e-05
81,6.2274135e-05
82,6.0918213e-05
83,6.25391e-05
84,6.436418e-05
85,6.553548e-05
86,6.597137e-05
87,6.584999e-05
88,6.5384855e-05
89,6.4745844e-05
90,6.404623e-05
91,6.335236e-05
92,0.0004143997
93,0.00024463225
94,0.00019019507
95,0.0020721862
96,0.000641039
97,0.00041761802
98,0.00020558914
99,0.00011111034
100,7.504699e-05
101,6.2109786e-05
102,0.0023937663
103,0.00056096964
104,0.00039249478
105,0.0017964073
106,0.00070978765
107,0.042184617
108,0.008808123
109,0.004348034
110,0.0012563663
111,0.0003399506
112,0.0054770503
113,0.0010939648
114,0.0006714536
115,0.00029174966
116,0.00027348558
117,0.00028762693
118,0.00019842597
119,0.00012191595
120,8.5160835e-05
121,0.017692484
122,0.002791508
123,0.0016599077
124,0.00061183044
125,0.0002236165
126,0.00010439928
127,0.0023298727
128,2.0177993e-05
129,0.0007714787
130,0.0004039157
131,0.00018800606
132,0.00010321173
133,7.2735944e-05
134,6.245978e-05
135,0.0023837378
136,0.0005679136
137,0.00039834494
138,0.00020453187
139,0.00011353391
140,7.753791e-05
141,0.0004107531
142,0.00023983695
143,0.00018499559
144,0.00011836516
145,8.313941e-05
146,6.758841e-05
147,6.1353065e-05
148,5.9183625e-05
149,5.864034e-05
150,5.8636244e-05
151,0.0023899067
152,2.0386853e-05
153,0.0007764256
154,0.001326734
155,0.000887142
156,0.0011899469
157,0.0009532634
158,0.0005054231
159,0.00021919858
160,0.00010945144
161,7.1821705e-05
162,5.9785856e-05
163,5.6913632e-05
164,5.7154022e-05
165,5.814043e-05
166,5.9006114e-05
167,5.952591e-05
168,0.0004221751
169,0.00023974005
170,0.00018658573
171,0.00011914174
172,8.3055544e-05
173,0.00040367016
174,0.00024116912
175,0.00018394658
176,0.005480143
177,0.0011597351
178,0.0007192901
179,0.00030892642
180,0.0002696441
181,0.00028237607
182,0.00020948656
183,0.0044004293
184,0.00014282877
185,0.0014495731
186,0.00061102165
187,0.00023364284
188,0.00010863589
189,6.9572045e-05
190,5.8182304e-05
191,5.6104807e-05
192,5.6966077e-05
193,5.8360347e-05
194,5.94552e-05
195,6.0077502e-05
196,6.0299288e-05
197,6.025057e-05
198,6.0046445e-05
199,5.9768914e-05
200,5.9469294e-05
201,5.9176047e-05
202,0.0059521617
203,0.0010682935
204,0.0009080934
205,0.0011410412
206,0.00057265826
207,0.001693804
208,0.0007148512
209,0.00042221957
210,0.00019793645
211,0.00010522315
212,7.172511e-05
213,0.000420077
214,0.00023572228
215,0.00018311685
216,0.00011771737
217,8.2992796e-05
218,6.7628884e-05
219,0.005926815
220,1.993783e-05
221,0.006167613
222,0.0034716036
223,0.0016222389
224,0.0005359384
225,0.00018645615
226,8.788845e-05
227,0.0004198114
228,0.00022963007
229,0.00017841547
230,0.00011591567
231,8.301966e-05
232,6.8608475e-05
233,6.28961e-05
234,6.0917453e-05
235,6.0378356e-05
236,0.0023800863
237,0.0005693874
238,0.00039830513
239,0.00020343413
240,0.00011211435
241,7.608386e-05
242,6.2710744e-05
243,5.832163e-05
