,0
0,3.221942e-05
1,0.43373534
2,0.3955103
3,0.021167634
4,0.0096126925
5,0.0031094418
6,0.018302137
7,0.0032255566
8,0.0012749468
9,0.00044769607
10,0.002050135
11,6.9245885e-05
12,1.4136027e-05
13,1.3930252e-06
14,2.9888275e-07
15,2.5701772e-06
16,4.421765e-06
17,4.8938946e-06
18,0.0005254018
19,6.590126e-05
20,0.014289838
21,0.0021162669
22,1.2198636e-05
23,0.00014256063
24,0.0006983815
25,2.5023408e-07
26,7.115442e-06
27,1.1340753e-05
28,7.1224185e-06
29,2.0995305e-06
30,1.0215209e-07
31,2.2701217e-07
32,8.664393e-07
33,1.2833601e-06
34,0.0054595605
35,2.2704937e-06
36,0.0004409247
37,5.9410548e-05
38,7.192233e-07
39,1.43676325e-05
40,1.284639e-05
41,5.043942e-06
42,7.396626e-07
43,0.002488944
44,0.00020718097
45,0.00023598228
46,8.512958e-05
47,1.0828069e-05
48,3.3547113e-07
49,3.2922392e-06
50,2.366488e-06
51,5.5157216e-07
52,8.474772e-10
53,3.3466836e-07
54,0.0005822579
55,5.2555297e-05
56,2.4852712e-05
57,4.0729274e-06
58,1.2821057e-07
59,1.7825233e-08
60,4.675808e-11
61,0.0006104077
62,4.6682606e-05
63,0.0004112374
64,6.451317e-05
65,1.6972628e-05
66,5.8353834e-07
67,4.6124927e-07
68,6.425391e-07
69,1.277928e-07
70,3.1653723e-08
71,3.5747996e-07
72,7.3782695e-07
73,9.803831e-07
74,1.0780246e-06
75,1.0884153e-06
76,1.063485e-06
77,1.0326039e-06
78,1.0075968e-06
79,9.90877e-07
80,9.81045e-07
81,9.758145e-07
82,9.732215e-07
83,9.719345e-07
84,9.711923e-07
85,9.706334e-07
86,9.701143e-07
87,9.696104e-07
88,9.691298e-07
89,9.686888e-07
90,9.682971e-07
91,9.679587e-07
92,9.676735e-07
93,9.674308e-07
94,9.67229e-07
95,9.670571e-07
96,9.669125e-07
97,9.667925e-07
98,9.666902e-07
99,9.666044e-07
100,9.665293e-07
101,9.664652e-07
102,9.664121e-07
103,9.663657e-07
104,9.663262e-07
105,9.662936e-07
106,9.662663e-07
107,9.662416e-07
108,9.662213e-07
109,9.662035e-07
110,9.661871e-07
111,9.661749e-07
112,9.661653e-07
113,9.661558e-07
114,9.661476e-07
115,9.661409e-07
116,9.661353e-07
117,9.661271e-07
118,9.661245e-07
119,9.661204e-07
120,9.661163e-07
121,9.661136e-07
122,9.661122e-07
123,9.661094e-07
124,9.661081e-07
125,9.661054e-07
126,9.66104e-07
127,9.661027e-07
128,9.661027e-07
