,0
0,3.6586448e-06
1,0.026016843
2,0.025460567
3,0.0011061825
4,0.0005558103
5,0.004507281
6,0.043949764
7,0.011692516
8,0.00450048
9,0.0002088437
10,0.00017303694
11,1.696897e-05
12,0.00021551356
13,0.0010327875
14,0.0015583487
15,3.040986e-05
16,0.00033656892
17,0.0005377339
18,0.001263558
19,0.009040399
20,1.2739985e-06
21,0.0018304577
22,0.0022667523
23,5.900495e-05
24,0.0040196483
25,0.0008019349
26,0.0012220107
27,3.0726477e-07
28,7.450828e-07
29,0.00067998347
30,0.0006091393
31,0.00061592145
32,2.4165738e-06
33,0.0006521053
34,0.00068003556
35,1.8989873e-07
36,0.00057688926
37,0.000626504
38,0.0005694022
39,0.00048880774
40,0.00048307588
41,0.000477103
42,0.00043935617
43,0.00039626512
44,0.00036087327
45,0.00032612085
46,0.00028544653
47,0.0002402583
48,0.00014106507
49,0.00017253855
50,0.00019481978
51,0.00014870749
52,0.00014774619
53,0.00017713947
54,0.00021257473
55,0.00024912864
56,0.00028663367
57,0.00032352257
58,0.00035788567
59,0.0003883933
60,0.0009883415
61,0.0010931131
62,0.00068671774
63,0.0005679124
64,0.0005449669
65,8.370478e-06
66,0.0006793101
67,0.0028544832
68,0.0013471844
69,0.0014667355
70,3.7747732e-06
71,0.0007474798
72,0.00063250755
73,0.0064280606
74,0.00041030737
75,0.00083404017
76,2.9851992e-06
77,1.5153412e-06
78,0.0006344144
79,0.0005088147
80,2.9733135e-05
81,0.0005061123
82,1.8964307e-05
83,0.0006504005
84,0.0018680367
85,0.00081846
86,0.0006957108
87,0.0007209622
88,0.00063222245
89,9.875486e-06
90,0.00064715644
91,0.00040513783
92,0.0003383364
93,0.00031299776
94,0.00028427207
95,0.0002589238
96,0.00024111824
97,0.00011676767
98,0.00026724752
99,0.00023332765
100,0.00020721403
101,0.0001955346
102,0.00018444455
103,0.0001622323
104,0.00019770577
105,0.00018730076
106,0.004208271
107,0.0005517404
108,0.00026242615
109,0.00017536592
110,0.00015825813
111,0.00015327183
112,0.0001461419
113,0.00014296667
114,0.00014582941
115,0.00018562435
116,0.0013870798
117,0.00034053696
118,0.00024666966
119,0.00019918085
120,0.00019283812
121,0.0001785125
122,0.00016274344
